moisture_requirement,gas_requirement,light_requirement,mechanical_requirement,temperature,humidity,packaging_moisture_barrier,packaging_gas_barrier,packaging_light_barrier,packaging_mechanical_strength,packaging_sealability,cost_score,sustainability_score,score
3,3,2,3,25,60,1,1,1,2,3,3,7,55
3,3,2,3,25,60,3,3,2,3,2,3,8,78
3,3,2,3,25,60,2,1,2,4,2,3,8,72
3,3,2,3,25,60,3,3,2,4,1,2,6,75
3,3,2,3,25,60,4,4,2,3,3,2,5,86
3,3,2,3,25,60,4,4,4,3,3,1,4,92
2,1,3,4,20,70,1,1,1,2,3,3,7,55
2,1,3,4,20,70,3,3,2,3,2,3,8,70
2,1,3,4,20,70,2,1,2,4,2,3,8,84
2,1,3,4,20,70,3,3,2,4,1,2,6,68
2,1,3,4,20,70,4,4,2,3,3,2,5,82
2,1,3,4,20,70,4,4,4,3,3,1,4,76
2,1,2,4,30,80,1,1,1,2,3,3,7,50
2,1,2,4,30,80,3,3,2,3,2,3,8,68
2,1,2,4,30,80,2,1,2,4,2,3,8,82
2,1,2,4,30,80,3,3,2,4,1,2,6,65
2,1,2,4,30,80,4,4,2,3,3,2,5,78
2,1,2,4,30,80,4,4,4,3,3,1,4,72
3,3,2,3,35,75,1,1,1,2,3,3,7,48
3,3,2,3,35,75,3,3,2,3,2,3,8,65
3,3,2,3,35,75,2,1,2,4,2,3,8,70
3,3,2,3,35,75,3,3,2,4,1,2,6,72
3,3,2,3,35,75,4,4,2,3,3,2,5,84
3,3,2,3,35,75,4,4,4,3,3,1,4,90
